name,peopleNumber,detailLink,publishTime,positionInfo,workLocation
22851-腾讯视频动漫社区运营,,position_detail.php?id=43250&keywords=&tid=0&lid=0,,,
MIG03-资深运营开发工程师（深圳）,,position_detail.php?id=43253&keywords=&tid=0&lid=0,,,
HY5-Senior Research Analyst（Holland）,,position_detail.php?id=43255&keywords=&tid=0&lid=0,,,
MIG03-游戏技术美术TA,,position_detail.php?id=43245&keywords=&tid=0&lid=0,,,
23486-证券设计组长/总监（深圳）,,position_detail.php?id=43248&keywords=&tid=0&lid=0,,,
21228-集换式卡牌游戏本地化策划（深圳）,,position_detail.php?id=43237&keywords=&tid=0&lid=0,,,
18302-动作类手游资深TA（深圳）,,position_detail.php?id=43238&keywords=&tid=0&lid=0,,,
22989-腾讯云服务管理岗,,position_detail.php?id=43240&keywords=&tid=0&lid=0,,,
TEG13-信息安全运营组长（成都）,,position_detail.php?id=43242&keywords=&tid=0&lid=0,,,
SNG08-微视产品运营经理（上海）,,position_detail.php?id=43230&keywords=&tid=0&lid=0,,,
25666-腾讯云（华东）政府合作与品牌合作经理,,position_detail.php?id=43232&keywords=&tid=0&lid=0,,,
SNG17-QQ支付web前端开发工程师（深圳）,,position_detail.php?id=43234&keywords=&tid=0&lid=0,,,
WXG02-134 微信运营优化分析工程师（广州）,,position_detail.php?id=43224&keywords=&tid=0&lid=0,,,
25666-华北区域渠道销售经理（华北、西北、东北））,,position_detail.php?id=43227&keywords=&tid=0&lid=0,,,
25666-华北区域渠道销售经理（华北、西北、东北）（北京）,,position_detail.php?id=43229&keywords=&tid=0&lid=0,,,
19837-影视发行统筹（北京）,,position_detail.php?id=43218&keywords=&tid=0&lid=0,,,
21527-腾讯音乐财务秘书（深圳）,,position_detail.php?id=43219&keywords=&tid=0&lid=0,,,
WXG02-136 微信运营资源规划工程师（广州）,,position_detail.php?id=43223&keywords=&tid=0&lid=0,,,
27216-乘车码产品策划,,position_detail.php?id=43212&keywords=&tid=0&lid=0,,,
SNG11-产品经理（深圳）,,position_detail.php?id=43213&keywords=&tid=0&lid=0,,,
28297-移动游戏组件产品经理,,position_detail.php?id=43204&keywords=&tid=0&lid=0,,,
SNG11-移动安全高级工程师,,position_detail.php?id=43207&keywords=&tid=0&lid=0,,,
WXG10-321 企业微信商务推广经理（广州-ISV）,,position_detail.php?id=43209&keywords=&tid=0&lid=0,,,
22989-腾讯云大客户售后高级技术顾问,,position_detail.php?id=43200&keywords=&tid=0&lid=0,,,
27092-应用宝平台广告产品经理（深圳）,,position_detail.php?id=43202&keywords=&tid=0&lid=0,,,
23675-腾讯新闻Web前端高级工程师（北京）,,position_detail.php?id=43193&keywords=&tid=0&lid=0,,,
21557-音视频会议场景iOS研发工程师(深圳）,,position_detail.php?id=43194&keywords=&tid=0&lid=0,,,
SNG04-项目经理（深圳）,,position_detail.php?id=43197&keywords=&tid=0&lid=0,,,
OMG097-iOS客户端开发,,position_detail.php?id=43186&keywords=&tid=0&lid=0,,,
GY0-前端开发工程师（深圳）,,position_detail.php?id=43187&keywords=&tid=0&lid=0,,,
23517-二次元手游内容运营（深圳）,,position_detail.php?id=43191&keywords=&tid=0&lid=0,,,
OMG097-Android客户端开发（北京）,,position_detail.php?id=43179&keywords=&tid=0&lid=0,,,
SNG17-支付后台开发工程师（深圳）,,position_detail.php?id=43181&keywords=&tid=0&lid=0,,,
